DatasetID,OrganitionUnitID
11,105
11,106
11,107
11,108
11,109
11,110
11,111
11,116
11,118
11,119
11,120
11,121
11,122
11,123
11,124
11,125
11,126
11,127
11,94
11,95
11,96
11,97
11,98
11,99
11,100
11,101
11,102
11,608
11,610
11,611
11,612
11,613
11,614
11,615
11,616
11,617
11,622
11,623
11,624
11,625
11,626
11,627
11,628
11,629
11,630
11,631
11,632
11,633
11,634
11,635
11,636
11,637
11,638
11,639
11,24
11,26
11,27
11,28
11,29
11,30
11,31
11,32
11,33
11,34
11,35
11,80
11,82
11,83
11,84
11,85
11,86
11,87
11,88
11,89
11,90
11,40
11,42
11,43
11,44
11,45
11,46
11,47
11,48
11,49
11,50
11,51
11,52
11,53
11,132
11,133
11,134
11,135
11,136
11,137
11,138
11,139
11,140
11,141
12,105
12,106
12,107
12,108
12,109
12,110
12,111
12,116
12,118
12,119
12,120
12,121
12,122
12,123
12,124
12,125
12,126
12,127
12,94
12,95
12,96
12,97
12,98
12,99
12,100
12,101
12,102
12,608
12,610
12,611
12,612
12,613
12,614
12,615
12,616
12,617
12,622
12,623
12,624
12,625
12,626
12,627
12,628
12,629
12,630
12,631
12,632
12,633
12,634
12,635
12,636
12,637
12,638
12,639
12,24
12,26
12,27
12,28
12,29
12,30
12,31
12,32
12,33
12,34
12,35
12,80
12,82
12,83
12,84
12,85
12,86
12,87
12,88
12,89
12,90
12,40
12,42
12,43
12,44
12,45
12,46
12,47
12,48
12,49
12,50
12,51
12,52
12,53
12,132
12,133
12,134
12,135
12,136
12,137
12,138
12,139
12,140
12,141
13,15
13,12
13,14
13,11
13,62
13,64
13,2
13,10
13,4
13,67
12,660
12,661
12,662
12,663
12,664
12,665
12,666
12,667
11,660
11,661
11,662
11,663
11,664
11,665
11,666
11,667
