OrganisationUnitID,OrganisationUnitUID,Level
105,,3
106,,3
107,,3
108,,3
109,,3
110,,3
111,,3
116,,3
118,,3
119,,3
120,,3
121,,3
122,,3
123,,3
124,,3
125,,3
126,,3
127,,3
94,,3
95,,3
96,,3
97,,3
98,,3
99,,3
100,,3
101,,3
102,,3
608,,3
610,,3
611,,3
612,,3
613,,3
614,,3
615,,3
616,,3
617,,3
622,,3
623,,3
624,,3
625,,3
626,,3
627,,3
628,,3
629,,3
630,,3
631,,3
632,,3
633,,3
634,,3
635,,3
636,,3
637,,3
638,,3
639,,3
24,,3
26,,3
27,,3
28,,3
29,,3
30,,3
31,,3
32,,3
33,,3
34,,3
35,,3
80,,3
82,,3
83,,3
84,,3
85,,3
86,,3
87,,3
88,,3
89,,3
90,,3
40,,3
42,,3
43,,3
44,,3
45,,3
46,,3
47,,3
48,,3
49,,3
50,,3
51,,3
52,,3
53,,3
132,,3
133,,3
134,,3
135,,3
136,,3
137,,3
138,,3
139,,3
140,,3
141,,3
15,,2
12,,2
14,,2
11,,2
62,,2
64,,2
2,,2
10,,2
4,,2
67,,2
660,,3
661,,3
662,,3
663,,3
664,,3
665,,3
666,,3
667,,3
1,,1
0,,0
